PKM KD UPREGULATED PAUSE SITES,,,,PKM KD DOWNREGULATED PAUSE SITES,,,,EIF5A OVX UPREGULATED PAUSE SITES,,,,EIF5A OVX DOWNREGULATED PAUSE SITES,,,,EIF5A OVX DOWNREGULATED TE,,EIF5A OVX UPREGULATED TE,
,Transcript,p,t-statistic,,Transcript,p,t-statistic,,Transcript,p,statistic,,Transcript,p,statistic,Index,Transcript,Index,Transcript
32,GPI,0.00613,-9.08286497,32,SRSF3,0.00651,5.617812862,32,MAN1A1,0.0306,3.480845469,32,IMPDH2,0.0228,-3.838883141,5065,DYNC1H1,4509,DDHD2
33,HACD3,0.0249,-4.204617636,33,TPT1,0.00868,-4.869498633,33,MDH1,0.0206,3.895952269,33,IMPDH2,0.0138,-5.995574039,5151,EEA1,4526,DDX11
34,HDAC2,0.00359,-6.165082497,,,,,34,MZB1,0.00355,8.249480278,34,IRF4,0.0217,-3.941896562,5279,EIF4G1,4810,DNAH1
35,HDAC2,0.0296,-3.432471382,,,,,35,NDUFA1,0.00043,11.94202357,35,JCHAIN,0.00334,-7.983687541,5287,EIF5B,4881,DNHD1
36,HIST1H2AM,0.0315,-3.40983342,,,,,36,NPM1,0.0262,4.345876328,36,MAN1A1,0.00644,-5.413169491,5516,ERMP1,4903,DOCK3
37,HIST1H2BJ,0.00718,-5.554815629,,,,,37,P4HB,0.0273,5.731208041,37,MDM2,0.0463,-4.370430563,5536,ESF1,5055,DUXA
38,HIST1H2BO,0.00137,-8.167998759,,,,,38,PGK1,0.0131,4.308966482,38,MTDH,0.00319,-7.15953033,5694,FAM111B,5350,EME2
39,HIST1H4B,0.0394,-4.221109194,,,,,39,PRKDC,0.00803,6.372741838,39,NARS1,0.0142,-4.19501697,5934,FAT1,5408,ENTR1
40,HIST1H4C,0.0166,-5.018985706,,,,,40,PRKDC,0.0478,3.79248944,40,NCL,0.0321,-3.290371231,6563,GCC2,5580,EVC
41,HIST2H2BE,0.0312,-3.269442382,,,,,41,RBBP4,0.0186,5.086640447,41,NPM1,0.00652,-5.266680347,6847,GNS,5586,EVL
42,HIST2H2BF,0.0107,-4.518265486,,,,,42,RBM8A,0.0166,4.247045551,42,PAICS,0.0094,-5.167530298,6851,GOLGA4,5632,EZH1
43,HIST3H2BB,0.00334,-6.939987706,,,,,43,RBM8A,0.0186,3.994110003,43,PAICS,0.0364,-3.381276734,6881,GOLGB1,5699,FAM118A
44,HMGB1,0.00176,-11.48774442,,,,,44,RPL13,0.0152,4.364718984,44,PAICS,0.048,-2.964343008,7498,HIF1A,6017,FBXW7
45,HNRNPD,0.0454,-2.885172889,,,,,45,RPL14,0.00772,5.759445021,45,PDIA4,0.0384,-3.428853987,7516,HIPK3,6424,GABBR1
